0.000000000000000000e+00,3.000000000000000000e+02,3.244754434315989897e+02
1.000000000000000056e-01,2.500000000000000000e+02,3.147264657505677974e+02
2.000000000000000111e-01,2.500000000000000000e+02,3.067814162450596882e+02
3.000000000000000444e-01,2.500000000000000000e+02,3.006313507299370826e+02
4.000000000000000222e-01,2.591376364402966601e+02,2.976397220188347887e+02
5.000000000000000000e-01,2.741439817481524983e+02,2.981223630383239538e+02
6.000000000000000888e-01,2.728645933764794904e+02,2.982541129151198902e+02
7.000000000000000666e-01,2.731387795548355939e+02,2.984047683409684169e+02
8.000000000000000444e-01,2.732495193157682252e+02,2.985398113601899013e+02
9.000000000000000222e-01,2.733640844296383534e+02,2.986637243493811411e+02
1.000000000000000000e+00,2.734674044288976233e+02,2.987771336458843621e+02
1.100000000000000089e+00,2.735618967570869131e+02,2.988809497383405187e+02
1.200000000000000178e+00,2.736482066079623792e+02,2.989759756671757600e+02
1.300000000000000044e+00,2.737270693735511031e+02,2.990629511097668569e+02
1.400000000000000133e+00,2.737991391183699648e+02,2.991425540779152925e+02
1.500000000000000000e+00,2.738650119125485389e+02,2.992154062226230167e+02
1.600000000000000089e+00,2.739252298274640225e+02,2.992820773742528786e+02
1.700000000000000178e+00,2.739802861668662786e+02,2.993430897657925698e+02
1.800000000000000044e+00,2.740306300264244328e+02,2.993989219240729653e+02
1.900000000000000133e+00,2.740766704194860495e+02,2.994500122562589013e+02
2.000000000000000000e+00,2.741187799969478078e+02,2.994967623532945709e+02
2.100000000000000089e+00,2.741572984041987979e+02,2.995395400310148375e+02
2.200000000000000178e+00,2.741925353121117155e+02,2.995786821283178938e+02
2.300000000000000266e+00,2.742247731553280801e+02,2.996144970805617618e+02
2.400000000000000355e+00,2.742542696075967115e+02,2.996472673423101014e+02
2.500000000000000000e+00,2.742812595280561254e+02,2.996772514938550103e+02
2.600000000000000089e+00,2.743059573028050409e+02,2.997046861607915957e+02
2.700000000000000178e+00,2.743285590793580013e+02,2.997297879475212312e+02
2.800000000000000266e+00,2.743492439594355119e+02,2.997527551096236493e+02
2.900000000000000355e+00,2.743681755521221817e+02,2.997737690975135365e+02
3.000000000000000000e+00,2.743855033410512760e+02,2.997929959715369250e+02
3.100000000000000089e+00,2.744013639298848943e+02,2.998105876997318546e+02
3.200000000000000178e+00,2.744158821735731522e+02,2.998266833475743169e+02
3.300000000000000266e+00,2.744291722069548882e+02,2.998414101684366528e+02
3.400000000000000355e+00,2.744413383805912758e+02,2.998548846029254946e+02
3.500000000000000000e+00,2.744524761121822394e+02,2.998672131943753811e+02
3.600000000000000089e+00,2.744626726623521336e+02,2.998784934276587251e+02
3.700000000000000178e+00,2.744720078405028403e+02,2.998888144972247005e+02
3.800000000000000266e+00,2.744805546492086705e+02,2.998982580106969067e+02
3.900000000000000355e+00,2.744883798704995570e+02,2.999068986328798019e+02
4.000000000000000000e+00,2.744955446017608551e+02,2.999148046756000099e+02
4.100000000000000533e+00,2.745021047435758419e+02,2.999220386375382077e+02
4.200000000000000178e+00,2.745081114456015143e+02,2.999286576983561190e+02
4.299999999999999822e+00,2.745136115137044612e+02,2.999347141666091261e+02
4.400000000000000355e+00,2.745186478040716338e+02,2.999402558904144485e+02
4.500000000000000000e+00,2.745232595817035985e+02,2.999453266618428415e+02
4.600000000000000533e+00,2.745274827034756413e+02,2.999499665445313212e+02
4.700000000000000178e+00,2.745313499901081400e+02,2.999542121914922177e+02
4.800000000000000711e+00,2.745348914827567910e+02,2.999580971354474741e+02
4.900000000000000355e+00,2.745381346797026367e+02,2.999616520545253593e+02
5.000000000000000000e+00,2.745411047524972901e+02,2.999649050153527696e+02
5.100000000000000533e+00,2.745438247435994299e+02,2.999678816954804006e+02
5.200000000000000178e+00,2.745463157470069291e+02,2.999706055868409749e+02
5.300000000000000711e+00,2.745485970736193053e+02,2.999730981818798341e+02
5.400000000000000355e+00,2.745506864025228992e+02,2.999753791439014208e+02
